no,nama,type,vote_average,vote_count,htm_weekday,htm_weekend,latitude,longitude,image,description
281,Bukit Lintang Sewu,Alam,4.5,2600,3000,3000,-7.9157997,110.4366436,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749352219/bukit-lintang-sewu_bdou6a.jpg,bukit lintang sewu merupakan salah satu tempat wisata alam yang berhawa sejuk di yogyakarta keunggulan lainnya adalah lingkungannya menawarkan panorama yang indah dari bukit ini dapat melihat pemandangan lampu kota atau melihat bintang di malam hari bukit lintang sewu juga punya banyak fasilitas liburan seperti area glamping camping outbound dan hutan kayu putih
143,Grand Puri Waterpark,Wisata Air,4.2,2440,35000,35000,-7.8777662,110.352078,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749352219/grandpuri_ols8td.jpg,grand puri waterpark yogya berlokasi di daerah bantul salah satu waterpark terbesar di kabupaten bantul tempat rekreasi keluarga yang menyediakan atraksi dan wahana seru dan bisa dimainkan baik untuk anak anak maupun orang dewasa terdapat kolam seni olympic kolam arus kolam penerima dan kolam batita disana juga terdapat berbagai fasilitas foodcourt freewifi gazebo atm dan masih banyak lagi
147,Balong Waterpark,Wisata Air,4.2,2376,15000,20000,-7.8434924,110.4103899,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749352219/balong-waterpark_omst6t.jpg,full of splash and fun itulah slogan yang diusung oleh balong waterpark di dalam waterpark ini akan kita temukan dua buah kolam utama yang diperuntukkan untuk balita dan orang dewasa selain itu berbagai wahana permainan semacam ember tumbah water coaster hingga family slide juga tersedia untuk dinikmati suasana di dalam lokasi cukup sejuk dan bersih berbagai fasilitas umum juga sudah disiapkan untuk memberi kenyamanan bagi para pengunjung waterpark ini sangat recomended sebagai tujuan rekreasi akhir pekan bersama keluarga anak anak bisa bermain sepuasnya orang dewasa juga bisa bersantai dengan nyamannya
23,Kids Fun Park (Pusat),Buatan,4.4,2314,65500,10000,-7.827611573,110.4413491,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357025/kids-fun-park_h7wn1u.jpg,kids fun merupakan wahana atau tempat bermain untuk anak anak
367,Pantai Kesirat,Pantai,4.6,2296,5000,5000,-8.0961535,110.4350483,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357025/pantai-kesirat2_ktay8v.jpg,pantai kesirat dapat dijadikan area untuk perkemahan letaknya yang jauh dari keramaian bisa membuat pengunjung jadi lebih nyaman dan menikmati momen kebersamaan ketika berlibur dengan keluarga teman atau kerabat disana fasilitas warung makan dan kamar mandi tetap beroperasi selama jam yang menjadi keunggulan dari pantai kesirat adalah letaknya yang dikelilingi tebing tebing ini merupakan tempat favorit untuk memancing ikan atau sekadar duduk duduk menikmati hembusan angin di pantai
469,Stonehenge Merapi,Buatan,4.3,2282,5000,5000,-7.6022481,110.4479012,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357027/Stonehenge-Jogja-2_lczwsn.jpg,wisata baru ini baru ngehits di jogja tepatnya di kepuharjo cangkringan sleman kamu bakal menemui replika stonehenge peninggalan jaman prabudaya dan sejarah berupa susunan batu batu besar yang tidak beraturan yang aslinya terletak di inggris bentuk dan susunan batu di stonehenge cangkringan mirip dengan aslinya lengkap dengan alas rumput hijaunya masuk dan duduk di bagian dalam lingkaran tersebut akan jadi pengalaman yang berbeda
162,CitraGrand Mutiara Waterpark Yogyakarta,Wisata Air,4.3,2260,50000,80000,-7.8137343,110.2831838,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357025/citragrand-03_d0dxxp.jpg,waterpark ini menjadi salah satu objek wisata air favorit untuk keluarga mengusung tema treasure adventure citragrand mutiara waterpark yogya menghadirkan berbagai wahana permainan air yang akan membawa pengunjung seolah berpetualang bersama bajak laut
327,Wisata Telaga Potorono,Buatan,4.4,2248,0,0,-7.8300074,110.4204773,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357025/telaga-potoron_mtyhyy.jpg,selain diperuntukkan sebagai telaga telaga desa potorono juga dimanfaatkan sebagai tempat wisata alternatif yang menarik telaga desa potorono menawarkan pemandangan yang indah dengan udara yang sejuk di sekitar telaga terdapat enam buah gazebo gubuk yang dapat dimanfaatkan sebagai tempat berteduh
480,Desa Wisata Pulesari,Desa Wisata,4.4,2245,50000,50000,-7.6258806,110.371698,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357028/pulesari_mvbtzt.jpg,suasana khas pedesaan akan segera menyambut para wisatawan saat menjejakan kaki pertama kali di desa yang masuk dalam kabupaten sleman ini sungai berair jernih perkebunan salak yang tertata rapi dan sapaan ramah dari warga menjadi pemandangan lumrah di desa ini
284,Wisata Alam Watu Amben,Alam,4.4,2235,0,0,-7.8576729,110.4727388,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357025/watu-amben_dmk8zo.jpg,watu amben jogja merupakan sebuah wisata alam dimana kamu bisa menikmati lampu kota yogyakarta di malam hari salah satu wisata alam unik dari jogja adalah watu amben jogja objek wisata ini tidak hanya memiliki unsur alam namun juga unsur buatan objek wisata ini termasuk ke dalam komplek perbukitan bukit bintang gunung kidul dari atas bukit ini kamu bisa melihat indahnya pemandangan alam dan pemandangan kota jogja apalagi kalau dinikmati pada malam hari kamu bisa melihat kelap kelip lampu kota jogja tempat ini pun menjadi pilihan tempat nongkrong asyk bagi para masyarakat jogja khususnya para anak muda ya karena selain menikmati pemandangan kamu juga bisa menikmati hidangan lezat khas jogja
255,Candi Sojiwan,Budaya_Dan_Sejarah,4.5,2159,5000,5000,-7.7603952,110.4962014,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357023/CANDI-03-SOJIWAN_vy8nso.jpg,candi sojiwan memiliki keunikan keunikan ini berasal dari beberapa panel relief yang bercerita tentang cerita cerita binatang jika dipahami lebih dalam cerita cerita ini menyampaikan pesan pesan moral yang tidak lekang oleh waktu pesan pesan moral ini juga sangat berguna untuk menjalani kehidupan sehari hari setelah dilakukan penelitian terdapat beberapa temuan menarik salah satunya adalah parit keliling parit keliling ini sebagian berada di pemukiman warga di dalam parit kelagian ditemukan arca pondasi candi struktur pagar batu candi lepas struktur dan batu candi di sekitar permukiman warga yang berada di sebelah selatan candi induk candi sojiwan berada di kawasan siwa plateu yang banyak terdapat candi baik candi berlatar belakang agama hindu maupun budha hal ini menunjukkan bahwa sejak dulu nenek moyang kita telah hidup harmonis dan sangat toleran nilai nilai toleransi ini sangat dibutuhkan masyarakat indonesia sekarang ini mengingat kita berbeda beda keyakinan
39,Goa Selarong,Alam,4.3,2116,6000,6000,-7.860965268,110.3145237,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357025/goa-selarong_hcm4c2.jpg,gua selarong atau bisa disebut gua diponegoro adalah gua berbudaya dan sejarah sekaligus tempat wisata alam dan religius goa selarong merupakan sebuah goa kecil yang berada di dusun kembangputihan kecamatan pajangan bantul lokasinya cukup mudah dijangkau karena tak jauh dari kota bantul diy di goa selarong terdapat dua goa yaitu goa kakung dan goa p sekilas tak ada tampilan yang menarik secara visual dari kedua goa tersebut namun goa itu menyimpan peristiwa besar yang menjadi bagian dari budaya dan sejarah bangsa indonesia terutama kisah kepahlawanan pangeran diponegoro yang menjadi tokoh besar saat meletusnya perang jawa pada utri
35,Waduk Sermo,Buatan,4.5,2057,5000,5000,-7.821219329,110.1149803,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357023/waduk-sermo_jyqeww.jpg,waduk sermo merupakan sebuah waduk yang berada di kabupaten kulon progo daerah istimewa yogyakarta waduk seluas hektar ini dibangun mulai pada tahun dan diresmikan oleh presiden indonesia ke saat itu yaitu presiden soeharto pada november waduk ini dibangun dengan membendung kali ngrancah di desa hargowilis kecamatan kokap adanya pembangunan waduk ini juga mengahruskan pemerintah melakukan program transmigrasi sebanyak kk di transmigrasikan ke tak toi bengkulu ada banyak hal yang bisa sobat semua lakukan di tempat ini yang pertama yaitu berfoto di spot foto menarik terdapat berbagai macam spot foto menarik yang bisa dimanfaatkan pengunjung di tempat ini selanjutnya bagi sobat semua yang hobi memancing ikan tak ada salahnya mencoba memburu ikan setan merah yaitu ikan predator yang ada di waduk ini ikan merah merupakan primadona dikalangan pemancing di waduk sermo ini
18,Pantai Glagah,Pantai,4.4,2004,6000,6000,-7.9119427,110.0647339,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357023/Pantai-Glagah_ksihvu.png,pantai glagah indah adalah salah satu pantai yang menjadi objek wisata di provinsi daerah istimewa yogyakarta pantai glagah indah merupakan salah satu pantai di yogyakarta dengan hamparan pasir yang berwarna hitam dan banyak mengandung pasir besi pantai glagah indah memiliki akses yang baik pantai glagah dikenal sebagai salah satu pantai di jogja yang memiliki ombak cukup besar oleh sebab itu di kawasan pantai pun dibangun tetrapod
462,Grojogan Watu Purbo Bangunrejo,Alam,4.5,1927,5000,5000,-7.6340196,110.3383881,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357022/grojogan-watu-purbo_pjvzi9.jpg,tempat ini menjanjikan spot foto selfi yang begitu menarik dan aliran sungai serta taman bunga yang indah pun wisatawan dapat menikmati kuliner pedesaan yang menggugah selera dengan dilatarbelakangi birunya gunung merapi destinasi yang masih terhitung baru ini sebenarnya adalah aliran sungai kali krasak yang berhulu di gunung merapi aliranya terbentuk dari buah sabo dam yang tersusun bertingkat dengan ketinggian sampai meter sehingga tercipta air terjun atau dalam bahasa jawa disebut grojogan
283,Kebun Buah Mangunan,Agrowisata,4.5,1887,5000,6000,-7.939896,110.424336,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357021/kebun-buah-mangunan_uskldj.jpg,kebun buah mangunan adalah salah satu tempat wisata di kawasan mangunan dlingo kabupaten bantul yogyakarta kawasan wisata yang terkenal sebagai salah satu spot negeri di atas awan ini terletak sekitar kilometer km dari kota yogyakarta dengan waktu tempuh kurang lebih satu jam perjalanan kebun buah mangunan bisa jadi alternatif tempat wisata bersama keluarga di akhir pekan
382,Pantai Ngrenehan,Pantai,4.4,1876,5000,5000,-8.1211475,110.5142337,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357021/pantai-ngrenenhan_wr80n1.jpg,pantai ngrenehan merupakan pantai nelayan terletak di desa kanigoro kecamatan saptosari kurang lebih km di sebelah selatan kota wonosari suatu pantai berupa teluk yang dikelilingi hamparan perbukitan kapur dan memiliki panorama yang sangat memukau dengan deburan ombak menerpa pasir putih pantai ini diapit oleh dua bukit karang yang cukup besar dan menjorok ke laut di pantai ini pengunjung dapat mengamati langsung kegiatan nelayan tradisional juga bisa menikmati ikan segar yang baru saja diangkat dari kedalaman laut selatan
156,Tirtonirmolo Water Park Galuh,Wisata Air,4.2,1857,30000,30000,-7.748672,110.501128,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357024/tirtonirmolo-waterpark_h5usb4.jpg,tirtonirmolo water park galuh merupakan gabungan dari hotel galuh yang berada di sisi selatan tirtonirmolo water park galuh wisatawan dapat menikmati berbagai wahana di sekitar tirtonirmolo water park bukan hanya air saja disini juga terdapat kolam yaitu kolam renang dewasa kolam renang seluncur anak anak mandi bola kolam keluarga kolam arus kolam ember tumpah kolam renang songsong gora kolam renang laba laba kuda laut dan kolam air mancur wisata ini cocok didatangi bersama keluarga maupun teman
42,Affandi Museum,Budaya_Dan_Sejarah,4.6,1848,30000,30000,-7.782713,110.396397,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357024/museum-affandi_owqr3l.jpg,museum affandi merupakan salah satu museum seni di daerah istimewa yogyakarta indonesia museum yang berada di tepi sungai gajah wong ini menyimpan berbagai macam lukisan karya affandi selain itu museum ini juga menyimpan banyak benda peninggalan affandi lainnya seperti mobil sepeda onthel dan masih banyak lagi ada lebih dari lukisan termasuk beberapa potret diri dan karya dari seniman terkenal lainnya seperti sudjojono hendra gunawan dan barli jangan lupa untuk mengambil foto rumah affandi yang ikonis dengan atap yang berbentuk pelepah pisang
76,Museum Monumen Pangeran Diponegoro,Budaya_Dan_Sejarah,4.4,1778,2000,2000,-7.7865891,110.3514473,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357024/museum-diponegoro_vfmtfo.jpg,museum monumen pangeran diponegoro adalah museum sekaligus monumen kediaman pangeran ketika dikepung oleh pihak belanda museum ini berisi berbagai peninggalan pangeran diponegoro di museum ini juga terdapat pendapa dan pringgitan yng didalamnya berisi benda benda berbudaya dan sejarah benda berbudaya dan sejarah tersebut berupa berbagai jenis senjata tradisional seperti keris tombak pedang panah dan masih banyak lagi senjata yang dikoleksi di dalam museum ini i museum monument pangeran diponegoro ini juga terdapat dinding yang berlubang yang menjadi jalan keluar pangeran diponegoro untuk bisa lolos dari kepungan penjajah belanda di museum ini juga terdapat barang peninggalan milik sri sultan hamengku buwono ii yaitu ketipung dan wilahan bonang penembung yang terbuat dari kayu dan perunggu yang berwarna merah dan kuning barang peninggalan sri sultan hb ii yang ada mencapai lebih dari buah disana juga terdapat dua senjata meriam yang terletak di depan dan disebelah timur pendopo serta ada berbagai macam peralatan rumah tangga seperti tempat menaruh siri canting teko dan bokor
287,Puncak Kebun Buah Mangunan,Agrowisata,4.6,1773,8000,8000,-7.9413718,110.4247345,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357024/puncak-kebun-buah-mangunan_qsprkg.jpg,objek wisata ini menawarkan keindahan berupa panorama alam dataran tinggi yang hijau dan masih sangat alami selain itu dari sana kamu juga bisa menikmati landscape kota bantul dengan segala rutinitas penduduknya landscape yang sangat cantik dan mempesona dari kawasan wisata ini kamu juga bisa menyaksikan gagahnya gunung sewu yang berada di seberang beberapa tanaman yang bisa kamu amati dan pelajari yakni pohon rambutan durian manggis jeruk mangga pohon pinus king grass atau rumput raja salak magium duku sawo cempedak jambu biji dan masih banyak yang lainnya disana wisatawan dapat berburu aneka buah buahan camping melihat watu tumpang yaitu batu besar yang menumpang di atas batu kecil memancing bersepeda berenang belajar pembibitan sapi flying fox
465,Lava Tour Merapi,Alam,4.6,1714,350000,350000,-7.5934503,110.4316004,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357024/lava-tour-merapi_gj6xla.jpg,lava tour merapi bisa menjadi pilihan aktivitas wisata ketika berlibur di yogyakarta lava tour merapi adalah istilah untuk tur wisata kawasan terdampak erupsi gunung merapi tahun tur yang dimaksud saat ini merupakan tur menggunakan mobil jenis jeep kegiatan tur meliputi kunjungan ke sejumlah titik yang terkena dampak langsung erupsi ada berbagai macam paket yang disediakan
41,Museum Sonobudoyo Unit I,Budaya_Dan_Sejarah,4.6,1711,3000,3000,-7.8024499,110.3639555,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357024/museum-sonobudoyo-I_rzpvjc.jpg,useum sonobudoyo unit pertama yang ada di dekat alun alun keraton yogyakarta yang memiliki bentuk seperti bangunan rumah joglo dengan gaya masjid keraton kasepuhan cirebon di museum ini terdapat koleksi alat musik seperti replika andong wayang rama sinta dan juga lesmana anoman hingga rahwana kemudian koleksi keris koleksi batik dan koleksi buku kebudayaan
68,Museum Factory Dan Kedai Chocolate Monggo,Agrowisata,4.6,1704,15000,15000,-7.8408737,110.298431,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357023/museum-factory-chocolate_kvkp6v.jpg,disini wisatawan dapat belajar mengenai budaya dan sejarah cokelat melihat langsung pembuatan cokelat di pabrik dan langsung bisa mempraktekkan membuat cokelat cokelat monggo ini dibuat dari warga negara belgia yang terinspirasi karena rasa rindunya akan rasa cokelat belgia
31,Kawasan Pantai Baron,Alam,4.4,1698,10000,10000,-8.1288246,110.5487763,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357022/pantai-baron_w10kfi.jpg,objek wisata pantai baron merupakan pantai yang membentuk cekungan seperti pantai lainnya di pantai baron tersedia aneka ikan laut beserta olahannya ikan yang biasanya dijual di pantai baron adalah udang windu kakap bawal putih dan tongkol pantai baron memiliki fasilitas berupa tempat pelelangan ikan wahana permainan anak anak perahu bermesin dan toko cenderamata buah sirkaya pisang tanduk sirsak dan berbagai macam cenderamata yang terbuat dari kerang laut
358,Kids Fun Galleria Mall,Buatan,4.4,1693,60000,60000,-7.7823797,110.3791605,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357022/kids-fun-galleria_bzmumi.jpg,kids fun cabang galeria mall menawarkan tema wild wild west yang membawa kita ke dunia barat dimana kaum koboi dan indian bertemu tidak hanya sekedar nama desain interiornya pun disesuai dengan tema yang diusung di beberapa bagian diletakkan patung koboi dan indian untuk memperkuat suasana belum lagi area counter yang sekilas mirip bar di film film bertema sejenis
449,Taman Bunga Amarilis,Agrowisata,4.2,1641,10000,10000,-7.8563245,110.4991167,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357022/taman-bunga-amarilis_fjfbvb.jpg,taman bunga amarlis dapat dikatakan wisata tahunan karena bunga mekar setiap tahun namun jangka mekarnya sangat pendek sehingga pengunjung harus segera datang ketika mekar dan dari tahun ke tahun kondisi taman bunga sudah semakin baik jalan setapak yang sudah rata dengan semen telah disediakan sehingga pengunjung tidak perlu khawatir becek atau kotor karena tanah taman pun telah dibentuk dengan kotak kotak yang membuatnya tampak tertata rapi taman bunga telah dilengkapi dengan jalan setapak yang membantu akses pengunjung lebih dekat dengan bunga jadi angle ketika berfoto lebih terlihat indah taman bunga juga dibentuk sehingga tidak monoton hanya satu lahan seperti sawah
177,Tegaldowo Puspa Gading Park,Buatan,4.4,1635,10000,10000,-7.8656715,110.3228654,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357022/tegaldowo-puspa_ujvdol.jpg,satu lagi obyek wisata alternatif karya dari warga hadir di kabupaten bantul destinasi baru tersebut telah menjadi viral di media sosial medsos namanya taman puspa gading berlokasi di dusun tegaldowo dukuh grojogan kecamatan bantul bantul diy taman puspa gading berada di pinggiran sungai bedog selain berupa taman untuk berswafoto berlatar belakang hamparan sawah dengan berhiaskan patung kadal raksasa dan jembatan gantung yang membentang di atas sungai taman puspa gading juga memiliki beberapa wahana permainan anak diantaranya kolam renang mandi bola terapi ikan foto dengan badut kelinci motor apv menangkap ikan dan wahana melukis
207,Bendungan Kamijoro,Buatan,4.3,1563,0,0,-7.8787758,110.2662888,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357021/bendungan-kamijoro_rsvyje.jpg,bendungan kamijoro adalah bendungan yang menahan aliran sungai progo dan mengalirkan sebagian airnya untuk pengairan areal persawahan tapi bendungan kamijoro bukan sembarang bendungan di atas bendungan ini terbentang jembatan sepanjang meter dengan lebar meter jembatan bendungan kamijoro menghubungkan bantul dan kulon progo tepatnya di dusun plambongan desa triwidadi kecamatan pajangan kabupaten bantul dengan dusun kaliwiru desa tuksono kecamatan sentolo kulon progo tanpa jembatan itu orang harus memutar sangat jauh jembatan ini menjadi landscape baru untuk bantul dan kulon progo bentuknya mirip jembatan ampera di palembang lengkap dengan tiang yang menjulang tinggi dan hiasan tali tali baja yang seolah menyangga beban jembatan bendungan ini jadi salah satu daya tarik wisata sekaligus mampu menggerakkan ekonomi mikro masyarakat di sekitarnya karena banyak yang berkunjung ke sana masyarakat setempat memanfaatkan kesempatan itu untuk berjualan aneka jajanan dan makanan bendungan kamijoro diresmikan langsung oleh presiden joko widodo pada akhir lalu dan hingga kini jadi salah satu magnet wisata di kulon progo dan bantul selain jembatan yang cantik ada juga taman bendungan kamijoro yang bisa jadi pilihan tempat untuk bersantai duduk dan menikmati hembusan angin bendungan yang semilir taman ini berada di sisi barat atau masuk wilayah kulon progo terdapat taman dari sini kita bisa berfoto dengan background jembatan sekaligus bendungan yang megah sedang di sisi timur atau masuk wilayah bantul terdapat sebuah sistem pengairan yang tertata canggih dan modern terdapat beberapa pintu pintu air dengan kontrol elektrik di area taman terdapat plaza yang besar untuk berfoto foto bersantai ataupun berkumpul mengadakan kegiatan massal salah satu spot foto yang jadi favorit pengunjung adalah di bagian undakan tertinggi plaza dengan latar belakang tulisan bendungan kamijoro  jika kamu ingin berkunjung ke sini membawa keluarga tak perlu khawatir bendungan kamijoro sangat ramah keluarga tak jauh dari taman terdapat aneka mainan anak anak seperti ayunan jungkat jungkit hingga papan luncur taman juga dikemas sebagai wisata edukasi bagi keluarga dengan ditanam banyak jenis buah buahan seperti durian kelengkeng sawo hingga jambu kristal area taman sudah dibangun untuk pedestrian sehingga sangat nyaman untuk berjalan kaki
184,Goa Kiskendo,Alam,4.3,1446,5000,5000,-7.7471047,110.1310147,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357021/rute-goa-kiskendo_xkuf5v.jpg,goa beserta kisah kisah yang menyertainya menjadi daya tarik terbesar obyek wisata ini goa konon sudah ditemukan abad silam para leluhur terdahulu memanfaatkan untuk mencari ketenangan batin dan pencerahan lewat bertapa goa itu sepanjang kilometer goa di dalam bumi bukit menoreh ada dua percabangan besar di dalamnya dan mengarahkan pengunjung pada bekas tempat banyak orang di masa lalu dalam melakoni pertapaan
413,Pantai Ngrumput,Pantai,4.6,1437,10000,10000,-8.1403829,110.5831238,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357021/fasilitas-pantai-ngrumput_abydw9.jpg,pantai ngrumput memang kalah pamor dengan parangtritis namun urusan eksotisme pantai yang terletak di gunung kidul itu tak bisa disepelekan begitu saja karena belum begitu dikenal oleh masyarakat pantai ini seolah belum terjamah sehingga keindahan alamnya masih alami dan juga bersih karena terhindar dari sampah selain itu wisatawan yang datang kemari bisa merasakan memiliki pantai pribadi karena masih sepi pengunjung eksotisme pertama dari pantai ngrumput di mata para wisatawan adalah tepi pantainya seperti halnya pantai gunung kidul lainnya yang terkenal dengan pasir putihnya demikian juga dengan pantai ini istimewanya banyak wisatawan tak ingin beranjak dari pasir tersebut hingga memilih untuk bermalam biasanya kegiatan camping itu selalu identik dengan mendaki gunung kali ini tanpa perlu mendaki wisatawan dapat merasakan sensasi bermalam di bawah sinar rembulan kegiatan ini yang membuat pantai ngrumput ini makin popular di mata wisatawan
383,Pantai Ngedan,Pantai,4.4,1382,5000,5000,-8.1163418,110.4963362,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357020/pantai-ngedan_y4kxp8.jpg,pantai ngeden atau ngedan yang terletak di desa krambil sawit tersembunyi di balik bukit karang pantai cantik ini memberikan kesan eksklusif bagi pengunjungnya terletak agak terpencil pantai ngeden menyimpan keindahan alam yang masih terjaga berkunjung kemari memang tidak terlalu mudah karena akses jalannya yang belum maksimal akan tetapi hijaunya perbukitan serta birunya laut akan memanjakan wisatawan begitu tiba di lokasi
410,Pantai Slili,Pantai,4.5,1343,10000,10000,-8.1449664,110.6028766,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357021/Pantai-Slili_yqwq99.png,pantai slili merupakan pantai kecil bagian selatan kecamatan tepus kabupaten gunungkidul lokasinya tepat berada di antara pantai krakal dan pantai sadranan ketiganya hanya dipisahkan oleh bukit karang yang bisa dijelajahi salah satu yang populer dari pantai slili adalah posisinya slili diapit oleh dua bukit yang berbatasan langsung dengan pantai yang jauh lebih luas kedua bukit ini membuat area pantai menyerupai teluk berukuran mini pantai slili dikenal memiliki spot spot cantik untuk snorkeling begitu juga dengan pantai slili yang menjadi tetangga nya lantai karangnya merupakan habitat yang baik untuk biota laut ada penyewaan alat snorkeling serta jasa instruktur snorkeling yang bisa dicoba jika berkunjung kemari
175,Camera House Borobudur,Museum,4.1,1304,15000,15000,-7.6244995,110.2027713,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749357026/camera-house-borobudur_m9iwwr.jpg,camera house borobudur ini rumah yang dibentuk menyerupai kamera dslr berukuran raksasa rumah kamera ini adalah museum yang menampilkan hasil lukisan pak tanggol dan terdapat studio foto yang unik serta menarik kamu dapat melihat lukisan lukisan yang indah yang terdapat di camera house borobudur ini
15,Candi Kalasan,Budaya_Dan_Sejarah,4.5,1291,5000,5000,-7.767284,110.4723505,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749364690/Candi-Kalasan_l5vbyn.jpg,candi kalasan adalah candi yang dipersembahkan untuk dewi tara yang dinding luarnya dilapisi semen kuno candi budha tertua di yogyakarta ini dibangun oleh rakai panangkaran raja dari dinasti syailendra yang juga mengkonsep pendirian borobudur
302,Watu Goyang,Alam,4.4,1282,7000,7000,-7.9274086,110.4120586,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749364688/Watu-Goyang-Jogja-3_rivvui.jpg,lantaran lokasi wisata berada di dataran tinggi tak terhalang apa pun membuat wisatawan mudah menikmati keindahan kota jogja dari atas bukit pula terlihat makam makam para raja loh pemandangan alam hijau serta kegagahan gunung merapi terlihat mempesona lanskap seperti itulah sangat cocok mengobati rasa penat maupun bosan setelah sobat dibuat sibuk oleh rutinitas sehari hari
308,Pintoe Langit Dahromo,Buatan,4.4,1266,5000,5000,-7.913608,110.437783,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749364687/Pintoe-Langit-Dahromo-2_pewsol.jpg,pintu langit dahromo ini menyediakan berbagai spot selfie yang hitz dan instagramable dengan latar belakang panorama keindahan sebagian kota jogja yang istimewa adapun berbagai spot foto tersebut seperti spot foto rumah dengan bunga bunga disekitarnya pintu langit gardu pandang yang berbentuk love dan ada juga sayap capung
196,Wana Tirta Mangrove Forests,Agrowisata,4.1,1212,3000,3000,-7.8933459,110.0198257,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749364703/hutan-mangrove-wana-tirta_gfuzqt.jpg,wana tirta mangrove merupakan salah satu tujuan baru terfavorit wisatawan di yogyakarta atau lebih tepatnya di pasirmendit kulon progo awalnya tempat wisata ini dibangun untuk melestarikan alam namun kemudian banyak pengunjung yang menikmati hutan mangrove ini sebagai wisatawan untuk spot foto ada jembatan siapi api atau jembatan bambu ayunan gazebo dan spot lainnya yang di hiasi dengan ornamen bunga selain menikmati pemandangan mangrove pengunjung dapat menikmati tur dengan perahu disekitar area mangrove dan bermain canoe seluruhnya tersedia dengan tambahan biaya dan dilengkapi dengan perlengkapan keamanan
44,Museum Sandi,Budaya_Dan_Sejarah,4.7,1182,3000,3000,-7.7845549,110.3711548,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749364702/Museum-Sandi_ihhtcf.jpg,museum sandi adalah museum satu satunya yang menyimpan alat alat untuk mengirim pesan rahasia museum ini juga merekam segala jenis persandian di indonesia bahkan dunia jadi jika anda yang suka memecahkan sandi maka museum ini adalah tempat yang cocok untuk anda kunjungi setiba anda di loby museum sandi akan disambut hangat oleh pengelola museum sandi orang orangnya ramah baik dan legowo banget pada masa itu museum sandi ini adalah museum yang mengoleksi segala jenis benda dan alat untuk memecahkan sandi mulai dari telegraf buku kode sandi sampai mesin mesin sandi yang terbuat di indonesia maupun luar negeri
428,Bukit Teletubbies,Alam,4.1,1173,2000,2000,-7.8181275,110.511764,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749364704/bukit-teletubbies-jogja_ntmuje.jpg,wisata satu ini merupakan wisata yang lokasinya berada di pedesaan bukit satu ini tepatnya berada di desa sumberharjo prambanan kabupaten sleman meski berada di pedesaan bukit teletubbies jogja ini juga sama dengan wisata lain yang memiliki ciri khas dan keunikan tersendiri pemandangan yang ditawarkan kawasan perbukitan ini cukup enak dipandang plus kamu juga mendapatkan foto bagus dengan latar belakang perbukitan yang hijau bukit ini diberi nama teletubbies karena adanya gardu panjang yang lokasinya berada di atas gardu ini kebetulan lokasinya berada di di timur rumah domes rumah di dekat gardu ini bentuknya setengah bulat dan mirip rumah di serial teletubbies sehingga rumah itu disebut rumah teletubbies
